Boat_Type,Manufacturer,Type,Year_Built,Length,Width,Material,Views_7_days,Country,Amount_US
Sport Boat,Invictus power boats,"new boat from stock,Unleaded",2016,8.1,2.7,PVC,89,France,87890.0
Pilothouse,Jeanneau power boats,"new boat from stock,Unleaded",2020,7.93,2.8,GRP,73,Germany,87890.0
Pilothouse,Arvor power boats,"Used boat,Diesel",2012,8.6,2.96,GRP,221,Sweden,87890.0
Sport Boat,Sea Ray power boats,"new boat from stock,Unleaded",2020,7.15,2.54,GRP,76,Austria,87780.0
Sport Boat,Invictus power boats,"Display Model,Unleaded",2019,7.45,2.5,GRP,206,Switzerland,87780.0
Pilothouse,Jeanneau power boats,"new boat from stock,Unleaded",2020,7.42,2.79,PVC,39,United,94503.5
Sport Boat,Sea Ray power boats,"Used boat,Diesel",1999,10.19,3.4,GRP,87,Germany,87560.0
Sport Boat,Flipper power boats,"Display Model,Unleaded",2019,6.7,2.48,GRP,180,Switzerland,12900.0
Cabin Boat,Saver power boats,"new boat from stock,Unleaded",2020,7.75,2.55,GRP,109,Germany,87505.0
Offshore Boat,Sunseeker power boats,"Used boat,Diesel",1998,10.36,3.1,GRP,127,United,94243.5
Motor Yacht,Salpa power boats,"Used boat,Diesel",2008,9.0,3.0,GRP,44,Croatia,87450.0
Flybridge,Ferretti power boats,"Used boat,Diesel",1990,14.51,4.35,GRP,193,Spain,88000.0
Center console boat,Cranchi power boats,Used boat,2006,12.2,3.84,GRP,120,Italy,88000.0
Motor Yacht,Maxum power boats,"Used boat,Diesel",2005,10.67,3.71,GRP,113,Montenegro,88000.0
Sport Boat,Cranchi power boats,"Used boat,Diesel",2006,10.35,3.49,GRP,81,Italy,88000.0
Hardtop,Bavaria power boats,"Used boat,Unleaded",2007,10.2,3.2,GRP,148,Italy,88000.0
Motor Yacht,Cruisers Yachts power boats,"Used boat,Diesel",2007,9.5,3.0,GRP,74,Netherlands,88000.0
Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Diesel",2018,7.74,2.95,Steel,59,France,88000.0
Motor Yacht,Boston Whaler power boats,"Used boat,Unleaded",2007,9.77,3.22,GRP,29,Italy,88000.0
Cabin Boat,Sessa power boats,"Used boat,Unleaded",2006,10.6,3.53,GRP,225,Italy,88000.0
Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2002,12.19,3.05,GRP,120,Malta,88000.0
Sport Boat,Windy power boats,"Used boat,Unleaded",2003,9.39,2.95,GRP,363,Switzerland,13425.0
Trawler,Super van Craft power boats,Used boat,1972,13.85,3.68,Steel,146,Netherlands,90750.00000000001
Classic,Super van Craft power boats,Used boat,1965,14.35,4.15,Steel,179,Netherlands,90750.00000000001
Launch,Jan Van Gent power boats,Used boat,2005,10.35,3.3,GRP,82,Netherlands,90750.00000000001
Trawler,Linssen power boats,"Used boat,Diesel",1990,9.7,3.2,Steel,351,Switzerland,13350.0
"Classic,Runabout",Boesch power boats,"Used boat,Unleaded",1989,6.8,2.35,Wood,297,Switzerland,13350.0
Wakeboard/Wakesurf,MasterCraft power boats,"Used boat,Unleaded",2015,6.93,2.59,GRP,728,Lake,13350.0
Fishing Boat,Pursuit power boats,"Used boat,Diesel",1999,11.1,3.89,GRP,45,Italy,90200.00000000001
Motor Yacht,Chaparral power boats,"Used boat,Diesel",2007,11.2,3.61,GRP,106,Spain,90200.00000000001
Cabin Boat,Bayliner power boats,"new boat from stock,Unleaded",2020,6.84,2.45,GRP,304,Germany,93445.00000000001
Motor Yacht,Boston Whaler power boats,"Used boat,Unleaded",2009,9.0,3.0,GRP,140,Croatia,93390.00000000001
Trawler,Zijlmans power boats,Used boat,1995,13.0,4.0,Steel,183,Netherlands,93390.00000000001
Center console boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,8.1,2.53,PVC,30,France,93390.00000000001
Sport Boat,Jeanneau power boats,"Used boat,Unleaded",2016,7.95,2.92,GRP,170,Germany,93390.00000000001
Pilothouse,Jeanneau power boats,"new boat from stock,Unleaded",2020,7.93,2.8,GRP,95,Germany,93390.00000000001
Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1994,13.72,1.01,GRP,152,Spain,92950.00000000001
Trawler,Pedro power boats,Used boat,1998,11.2,3.4,Steel,103,Netherlands,92950.00000000001
Launch,Makma power boats,"Used boat,Diesel",2003,9.3,3.3,GRP,110,Netherlands,92950.00000000001
Sport Boat,Viper power boats,"new boat from stock,Unleaded",2020,8.1,2.55,GRP,336,Switzerland,13636.35
Pilothouse,Viknes power boats,Used boat,2005,8.52,2.97,GRP,138,Denmark,687500.0
Flybridge,Viksund power boats,"Used boat,Diesel",2000,9.45,3.2,GRP,290,Denmark,687500.0
Sport Boat,Dellapasqua power boats,new boat from stock,2019,7.75,2.45,GRP,81,Italy,93500.00000000001
Center console boat,Gagliotta power boats,"Used boat,Diesel",2005,10.3,3.5,GRP,31,Italy,93500.00000000001
Flybridge,Dellapasqua power boats,Used boat,2004,11.3,3.5,GRP,62,Italy,93500.00000000001
Motor Yacht,Doqueve power boats,Used boat,1997,12.5,4.2,GRP,39,Spain,93500.00000000001
Motor Yacht,Pershing power boats,"Used boat,Diesel",1990,14.0,4.04,GRP,89,Spain,93500.00000000001
Motor Yacht,Cranchi power boats,Used boat,1999,10.35,3.49,GRP,55,Spain,93500.00000000001
Flybridge,Piantoni (IT) power boats,"Used boat,Diesel",1993,16.3,5.08,GRP,82,Italy,93500.00000000001
Motor Yacht,SAS-Vektor power boats,"Used boat,Diesel",2006,10.0,2.0,GRP,112,Croatia,93500.00000000001
Fishing Boat,Albemarle power boats,"Used boat,Diesel",2002,9.81,8.99,GRP,107,Italy,93500.00000000001
Trawler,Haines power boats,"Used boat,Diesel",2000,10.6,3.66,PVC,57,France,93500.00000000001
Motor Yacht,Sagemar power boats,Used boat,2004,11.9,3.9,GRP,162,Italy,93500.00000000001
Motor Yacht,Sealine power boats,"Used boat,Diesel",2002,10.5,3.35,GRP,50,Italy,93500.00000000001
Launch,Makma power boats,Used boat,2008,10.5,3.35,GRP,105,Netherlands,95700.00000000001
Sport Boat,BÃ©nÃ©teau power boats,new boat from stock,2020,9.0,2.94,GRP,106,France,95689.00000000001
Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2019,6.98,2.98,PVC,69,Spain,95689.00000000001
Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2019,8.03,2.82,PVC,47,France,95590.00000000001
Sport Boat,Regal power boats,"new boat from stock,Unleaded",2020,6.8,2.5,GRP,143,Germany,95469.00000000001
Motor Yacht,BÃ©nÃ©teau power boats,"Used boat,Diesel",2008,9.95,3.42,PVC,67,United,102700.0
Water ski,Nautique power boats,"new boat on order,Unleaded",2020,6.65,2.41,GRP,123,Germany,95150.00000000001
Motor Yacht,Parker power boats,"new boat from stock,Unleaded",2019,8.3,2.8,GRP,138,Germany,95093.90000000001
Pilothouse,Bayliner power boats,"new boat from stock,Unleaded",2020,7.49,2.55,GRP,327,Switzerland,13981.5
"Classic,Runabout",Boesch power boats,"Used boat,Unleaded",2007,5.99,2.18,Wood,230,Switzerland,13875.0
Sport Boat,Chris Craft power boats,"Used boat,Unleaded",2006,9.0,3.05,GRP,485,Switzerland,13875.0
Sport Boat,Salpa power boats,"new boat on order,Unleaded",2020,7.65,2.54,GRP,256,Switzerland,13950.0
Bowrider,Tullio Abbate power boats,"new boat from stock,Unleaded",2019,2.36,7.55,GRP,220,Switzerland,13950.0
Sport Boat,Salpa power boats,new boat from stock,2018,7.6,2.53,GRP,197,Switzerland,13950.0
Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2004,10.0,3.0,GRP,111,Croatia,97790.00000000001
Runabout,Ganz Boats power boats,"Display Model,Unleaded",2019,6.8,2.35,GRP,173,Switzerland,14400.0
"Classic,Sport Boat",Frauscher power boats,Used boat,2010,7.57,2.25,GRP,369,Switzerland,14400.0
Sport Boat,Windy power boats,"Used boat,Diesel",2003,8.42,2.62,GRP,457,Switzerland,14400.0
Sport Boat,Windy power boats,"Used boat,Unleaded",2002,9.39,2.95,GRP,383,Switzerland,14400.0
Motor Yacht,Amer power boats,Used boat,2010,8.7,2.5,GRP,108,Netherlands,97625.00000000001
Pilothouse,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2019,6.99,2.72,GRP,191,Switzerland,14391.0
Sport Boat,Sessa power boats,"new boat from stock,Unleaded",2019,7.67,2.43,GRP,193,Switzerland,97523.8
Motor Yacht,Four Winns power boats,"Used boat,Unleaded",2003,9.5,3.2,GRP,471,Switzerland,14250.0
Motor Yacht,Windy power boats,"Used boat,Unleaded",1994,9.9,3.45,GRP,1319,Switzerland,14250.0
Motor Yacht,Glastron power boats,"Used boat,Unleaded",2016,7.67,2.55,GRP,711,Switzerland,14325.0
Sport Boat,Four Winns power boats,new boat from stock,2019,6.58,2.55,GRP,199,Switzerland,14296.05
Motor Yacht,Rio power boats,"Used boat,Diesel",1996,14.27,4.25,GRP,103,Italy,96800.00000000001
Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Diesel",2010,8.36,2.95,PVC,124,Cyprus,96800.00000000001
Pilothouse,Rhea power boats,"Used boat,Diesel",2004,10.25,3.5,PVC,145,France,97900.00000000001
Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1993,12.0,3.0,GRP,80,Croatia,97900.00000000001
Motor Yacht,Pikmeerkruiser power boats,"Used boat,Diesel",1991,12.5,4.0,Steel,122,Netherlands,97900.00000000001
Sport Boat,Cobalt power boats,"Used boat,Unleaded",2006,10.78,2.9,GRP,57,Croatia,97900.00000000001
Flybridge,Dellapasqua power boats,"Used boat,Diesel",2003,11.3,3.5,GRP,63,Italy,97900.00000000001
Trawler,Vacance power boats,Used boat,1998,11.2,3.6,Steel,65,Netherlands,97900.00000000001
Pilothouse,Aquador power boats,Used boat,2009,8.8,3.1,GRP,135,Netherlands,97900.00000000001
Flybridge,Sciallino power boats,"Used boat,Diesel",2003,10.61,3.3,GRP,124,Italy,97900.00000000001
Motor Yacht,Cranchi power boats,"Used boat,Diesel",2007,12.0,3.0,GRP,186,Croatia,98890.00000000001
Classic,Super van Craft power boats,"Used boat,Diesel",1974,11.55,3.5,Steel,93,Netherlands,98890.00000000001
Motor Yacht,Cranchi power boats,"Used boat,Diesel",2001,12.5,3.5,GRP,232,Netherlands,98890.00000000001
Bowrider,Cobalt power boats,"new boat from stock,Unleaded",2020,6.96,2.59,GRP,87,Germany,98890.00000000001
Hardtop,Bavaria power boats,"Used boat,Unleaded",2007,10.2,3.2,GRP,222,Germany,98890.00000000001
Cabin Boat,Quicksilver power boats,"Used boat,Diesel",2015,9.02,2.98,GRP,1014,Travemünde,98890.00000000001
Flybridge,Neptunus power boats,"Used boat,Diesel",1990,13.8,4.4,PVC,156,Netherlands,98890.00000000001
Sport Boat,Sea Ray power boats,"new boat from stock,Unleaded",2019,7.2,2.55,GRP,77,Austria,98615.00000000001
Pilothouse,Stickl power boats,"new boat from stock,Electric",2020,7.3,2.3,GRP,104,Germany,98615.00000000001
Sport Boat,Monterey power boats,"new boat from stock,Unleaded",2017,7.04,2.6,GRP,77,Switzerland,14535.0
Wakeboard/Wakesurf,Centurion power boats,"Used boat,Unleaded",2018,6.4,2.59,GRP,316,Switzerland,14535.0
Sport Boat,Regal power boats,"new boat from stock,Unleaded",2021,6.25,2.5,GRP,218,Switzerland,14528.4
Pilothouse,Bella power boats,"new boat from stock,Unleaded",2019,6.65,2.6,GRP,163,Switzerland,14850.0
"Classic,Pontoon Boat",Giudecca power boats,"Used boat,Unleaded",1993,7.56,2.31,GRP,164,Switzerland,14700.0
"Classic,Pontoon Boat,Trawler",Giudecca power boats,"Used boat,Unleaded",1993,7.56,2.0,GRP,282,Switzerland,14700.0
Trawler,De Boarnstream power boats,"Used boat,Diesel",1991,9.4,3.4,Steel,200,Switzerland,14775.0
Wakeboard/Wakesurf,Moomba power boats,"Display Model,Unleaded",2020,6.53,2.59,GRP,267,Switzerland,14670.0
Sport Boat,Cranchi power boats,"new boat from stock,Unleaded",2019,7.8,2.49,PVC,180,Portugal,99310.20000000001
Motor Yacht,Glacer power boats,Used boat,1989,13.98,4.12,Steel,55,Netherlands,99000.00000000001
Hardtop,Four Winns power boats,"Used boat,Unleaded",2008,10.67,3.0,GRP,68,Italy,99000.00000000001
Motor Yacht,Cranchi power boats,Used boat,1998,10.6,3.6,GRP,94,Netherlands,99000.00000000001
"Sport Boat,Wakeboard/Wakesurf,Water ski",Tony Giugliano power boats,"Used boat,Unleaded",2011,8.25,2.56,GRP,801,Germany,104500.00000000001
Motor Yacht,Jeanneau power boats,"Used boat,Unleaded",2017,8.72,2.99,GRP,107,Spain,104390.00000000001
Flybridge,Jeanneau power boats,"Used boat,Diesel",2011,10.22,3.33,PVC,50,France,104390.00000000001
Trawler,American Marine power boats,"Used boat,Diesel",1976,12.9,3.8,GRP,198,Germany,104280.00000000001
Trawler,Linssen power boats,"Used boat,Diesel",1991,10.3,3.55,Steel,128,Netherlands,104225.00000000001
Bowrider,Chaparral power boats,"new boat on order,Unleaded",2021,7.01,2.59,GRP,312,Switzerland,15325.199999999999
Motor Yacht,Cranchi power boats,"Used boat,Diesel",2007,11.4,3.5,GRP,88,Croatia,103400.00000000001
Motor Yacht,Pro-Line power boats,"Used boat,Unleaded",2008,10.82,3.81,GRP,39,Croatia,103400.00000000001
Motor Yacht,Cranchi power boats,"Used boat,Diesel",2003,11.95,3.5,GRP,128,Germany,103400.00000000001
Motor Yacht,Linssen power boats,"Used boat,Diesel",1993,11.5,3.6,Steel,150,Germany,103400.00000000001
Flybridge,Rodman power boats,"Used boat,Diesel",2010,9.5,3.25,GRP,63,Portugal,104500.00000000001
Sport Boat,Conam power boats,"Used boat,Diesel",2000,11.98,3.5,GRP,76,Italy,104500.00000000001
Motor Yacht,Rodman power boats,"Used boat,Diesel",2006,11.2,3.54,GRP,56,Spain,104500.00000000001
Motor Yacht,Cranchi power boats,"Used boat,Diesel",2006,11.4,3.5,GRP,109,Croatia,104500.00000000001
Motor Yacht,Four Winns power boats,"Used boat,Unleaded",2009,10.05,3.27,GRP,92,Croatia,104500.00000000001
Flybridge,Carnevali power boats,"Used boat,Diesel",2002,12.0,3.75,GRP,78,Italy,104500.00000000001
Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2010,10.22,3.33,PVC,85,France,104500.00000000001
Flybridge,Carver power boats,"Used boat,Diesel",1992,10.1,3.92,GRP,107,Spain,104500.00000000001
Motor Yacht,Carver power boats,"Used boat,Diesel",1999,13.41,4.24,GRP,85,Italy,104500.00000000001
Hardtop,Stama power boats,"Used boat,Diesel",2006,11.99,3.6,GRP,150,Italy,104500.00000000001
Bowrider,Glastron power boats,"new boat from stock,Unleaded",2019,8.0,2.54,GRP,273,Switzerland,107506.3
Sport Boat,Cormate power boats,"new boat from stock,Unleaded",2019,7.11,2.27,GRP,227,Switzerland,107415.00000000001
Cabin Boat,Stingray power boats,"new boat from stock,Unleaded",2019,7.6,2.56,GRP,258,Germany,107394.1
Bowrider,Regal power boats,"new boat from stock,Unleaded",2020,7.3,2.5,GRP,163,Germany,107387.50000000001
Motor Yacht,Vri-Jon power boats,Used boat,1997,12.1,3.8,Steel,76,Netherlands,107250.00000000001
Wakeboard/Wakesurf,Axis power boats,"Used boat,Unleaded",2020,7.16,2.59,GRP,899,Switzerland,15750.0
Sport Boat,Monterey power boats,"new boat from stock,Unleaded",2017,7.9,2.6,GRP,100,Switzerland,15735.0
Sport Boat,AMT power boats,"Display Model,Unleaded",2018,6.9,2.6,GRP,118,Switzerland,15735.0
Motor Yacht,Bavaria power boats,"Used boat,Diesel",2002,12.5,3.7,GRP,329,Germany,106700.00000000001
Sport Boat,Sessa power boats,"Used boat,Diesel",2007,10.59,3.53,GRP,49,Spain,106700.00000000001
Motor Yacht,Innovazioni e Progetti power boats,"Used boat,Diesel",2009,10.6,3.54,GRP,88,Italy,106700.00000000001
Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1995,12.8,3.3,GRP,76,United,116935.0
Offshore Boat,Sunseeker power boats,"Used boat,Diesel",1999,11.34,3.11,GRP,89,United,116935.0
Sport Boat,Fairline power boats,"Used boat,Diesel",2001,10.67,3.35,PVC,126,United,116935.0
Motor Yacht,Bavaria power boats,"Used boat,Diesel",2004,11.0,3.0,GRP,181,Croatia,108350.00000000001
Motor Yacht,Vri-Jon power boats,"Used boat,Diesel",1996,11.2,3.8,Steel,78,Netherlands,108350.00000000001
Deck Boat,Moonday power boats,new boat from stock,2019,10.6,3.3,GRP,60,Netherlands,108350.00000000001
Cabin Boat,Bruno Abbate power boats,"Used boat,Unleaded",1999,11.14,3.38,GRP,112,Germany,108350.00000000001
Motor Yacht,Proficiat power boats,"Used boat,Diesel",2004,11.0,3.55,Steel,71,Netherlands,108350.00000000001
Cabin Boat,Eolo power boats,new boat from stock,2020,8.3,2.55,GRP,150,Germany,108130.00000000001
Deck Boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2019,9.0,2.0,PVC,46,Spain,108009.00000000001
Motor Yacht,Raffaelli power boats,"Used boat,Diesel",1995,12.45,4.4,GRP,30,Italy,107800.00000000001
"Classic,Flybridge",Camuffo power boats,Used boat,1981,14.9,4.4,Wood,49,Italy,107800.00000000001
Motor Yacht,Princess power boats,"Used boat,Diesel",2000,13.15,3.73,GRP,138,Croatia,108900.00000000001
Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2019,8.91,2.95,PVC,54,France,108900.00000000001
Motor Yacht,Rhea power boats,"Used boat,Diesel",2006,9.3,3.3,PVC,97,France,108900.00000000001
Cabin Boat,Bavaria power boats,"Used boat,Unleaded",2010,10.4,3.45,GRP,184,Spain,108900.00000000001
Motor Yacht,Rhea power boats,"Used boat,Diesel",2006,9.3,3.3,PVC,135,France,108900.00000000001
Center console boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2019,9.0,2.94,PVC,58,France,108900.00000000001
Flybridge,Edership power boats,"Used boat,Diesel",1991,15.0,4.8,GRP,88,Croatia,108900.00000000001
"Classic,Trawler",Grand Banks power boats,"Used boat,Diesel",1972,14.64,4.0,Wood,261,Spain,108900.00000000001
Motor Yacht,Bayliner power boats,"Used boat,Unleaded",2017,8.18,2.6,GRP,229,Germany,108900.00000000001
Pilothouse,Rhea power boats,Used boat,2008,8.0,3.1,GRP,135,France,108900.00000000001
Trawler,Linssen power boats,"Used boat,Diesel",1993,12.35,3.85,Steel,128,Germany,109890.00000000001
Cabin Boat,Flipper power boats,"new boat on order,Unleaded",2020,8.08,2.54,GRP,79,Spain,109890.00000000001
Center console boat,BÃ©nÃ©teau power boats,"Used boat,Diesel",2008,12.15,3.91,PVC,32,France,109890.00000000001
Center console boat,BÃ©nÃ©teau power boats,"Used boat,Diesel",2008,12.15,3.91,PVC,80,France,109890.00000000001
Pilothouse,BÃ©nÃ©teau power boats,"new boat on order,Unleaded",2020,8.25,2.95,GRP,148,Germany,109879.00000000001
Motor Yacht,Ãchsner power boats,"Used boat,Diesel",2014,9.05,2.55,GRP,244,Germany,109780.00000000001
Sport Boat,Four Winns power boats,Used boat,2016,8.0,2.54,GRP,154,Germany,109780.00000000001
Sport Boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,9.0,2.97,PVC,46,France,111100.00000000001
Motor Yacht,Sea Ray power boats,Used boat,1998,15.0,4.08,GRP,130,Denmark,825000.0000000001
Runabout,Yamarin power boats,new boat from stock,2020,8.8,2.95,GRP,142,Germany,110203.50000000001
Motor Yacht,Colombo power boats,"Used boat,Diesel",2001,12.7,3.93,GRP,76,Italy,110000.00000000001
"Classic,Sport Boat",Brunnert-Grimm power boats,"Used boat,Unleaded",1968,8.5,2.65,Wood,70,Austria,110000.00000000001
Hardtop,Tecnomarine power boats,"Used boat,Diesel",1988,14.67,4.25,GRP,107,Italy,110000.00000000001
Center console boat,Gagliotta power boats,"Used boat,Diesel",2004,10.5,3.5,GRP,47,Italy,110000.00000000001
Flybridge,Azimut power boats,"Used boat,Diesel",1993,12.74,4.4,GRP,135,Italy,110000.00000000001
Motor Yacht,Sanlorenzo power boats,"Used boat,Diesel",1991,17.16,5.21,GRP,121,Italy,110000.00000000001
Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2018,8.9,2.93,PVC,90,France,115500.00000000001
Motor Yacht,Cranchi power boats,"Used boat,Diesel",2004,11.93,3.45,GRP,58,Italy,115500.00000000001
Center console boat,Innovazioni e Progetti power boats,"Used boat,Diesel",2004,12.66,4.15,GRP,38,Italy,115500.00000000001
Motor Yacht,Succes power boats,"Used boat,Diesel",1994,11.5,3.75,Steel,89,Germany,115500.00000000001
Sport Boat,Aquador power boats,"Used boat,Diesel",2012,8.88,3.1,GRP,178,Croatia,115500.00000000001
Sport Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2018,7.98,2.94,PVC,31,France,115500.00000000001
Sport Boat,AB Yachts power boats,Used boat,1994,16.72,4.4,GRP,94,Italy,115500.00000000001
Sport Boat,AXOPAR power boats,"Used boat,Unleaded",2019,9.2,2.95,GRP,255,Germany,115500.00000000001
Motor Yacht,Galeon power boats,"Used boat,Diesel",2006,10.21,3.46,GRP,330,Germany,115500.00000000001
Ketch,Amel power boats,"Used boat,Diesel",1992,13.94,3.93,PVC,97,France,115500.00000000001
Motor Yacht,BÃ©nÃ©teau power boats,"Used boat,Diesel",2014,10.22,3.35,PVC,105,France,115500.00000000001
Sport Boat,Vismara power boats,"Used boat,Diesel",2013,9.95,2.96,GRP,133,Italy,119900.00000000001
Sport Boat,Salpa power boats,"new boat on order,Unleaded",2020,7.62,2.54,GRP,153,Switzerland,119891.20000000001
Sport Boat,Scarab power boats,"new boat from stock,Unleaded",2020,6.4,2.54,GRP,110,Germany,119790.00000000001
Wakeboard/Wakesurf,TigÃ© power boats,"new boat from stock,Unleaded",2018,6.6,2.59,GRP,158,Switzerland,17637.75
Wakeboard/Wakesurf,Nautique power boats,"new boat on order,Unleaded",2020,7.1,2.49,GRP,95,Germany,118800.00000000001
Flybridge,Rodman power boats,"Used boat,Diesel",2002,12.9,4.21,PVC,33,Spain,118800.00000000001
House Boat,Haines Marine power boats,"Used boat,Diesel",2012,11.9,4.0,GRP,145,France,118800.00000000001
Motor Yacht,Master power boats,new boat on order,2020,9.96,3.36,GRP,151,France,118668.00000000001
Flybridge,Funcraft power boats,Used boat,1997,13.4,4.2,Steel,102,Netherlands,118250.00000000001
"Classic,Runabout",Riva power boats,"Used boat,Unleaded",1977,6.55,2.25,Wood,188,Denmark,877800.0000000001
"Classic,Runabout",Boesch power boats,"Used boat,Unleaded",1990,6.8,2.35,Wood,411,Switzerland,17250.0
Cabin Boat,Nasbo power boats,"new boat from stock,Unleaded",2020,8.12,2.55,GRP,129,Switzerland,17355.0
Hardtop,Sealine power boats,"Used boat,Diesel",2008,11.87,3.74,PVC,260,France,121000.00000000001
Flybridge,Fairline power boats,"Used boat,Diesel",1995,11.71,3.76,GRP,59,Germany,120989.00000000001
Bowrider,Cobalt power boats,"Display Model,Unleaded",2020,7.54,2.59,GRP,77,United,120890.00000000001
Deck Boat,Jeanneau power boats,"Used boat,Unleaded",2018,9.12,2.98,PVC,75,France,120890.00000000001
House Boat,Veha power boats,"Used boat,Diesel",1986,11.6,3.7,Steel,273,Switzerland,17820.0
Motor Yacht,Windy power boats,"Used boat,Diesel",2004,10.94,3.17,GRP,102,United,129998.70000000001
Motor Yacht,Nimbus power boats,"Used boat,Diesel",2007,9.8,3.18,PVC,257,United,129935.0
Motor Yacht,Fairline power boats,"Used boat,Diesel",1990,15.79,4.49,PVC,112,United,129935.0
Motor Yacht,Cruisers Yachts power boats,"Used boat,Diesel",2007,12.19,3.96,PVC,26,United,129935.0
Sport Boat,Crownline power boats,"new boat from stock,Unleaded",2019,8.0,2.59,GRP,119,Germany,123145.00000000001
Sport Boat,Crownline power boats,"new boat from stock,Unleaded",2019,8.74,2.59,GRP,69,Germany,122760.00000000001
Cabin Boat,Invictus power boats,"new boat from stock,Unleaded",2020,8.9,2.84,GRP,256,Switzerland,122485.00000000001
Sport Boat,Invictus power boats,"new boat on order,Unleaded",2020,8.9,2.84,GRP,171,Switzerland,122485.00000000001
Wakeboard/Wakesurf,Supra power boats,"Display Model,Unleaded",2019,6.93,2.58,GRP,248,Switzerland,18000.0
Motor Yacht,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2019,9.95,3.35,PVC,53,France,122100.00000000001
Motor Yacht,A. Mostes power boats,"Display Model,Unleaded",2020,7.6,2.45,GRP,279,Switzerland,17985.0
Flybridge,Princess power boats,"Used boat,Diesel",1996,14.95,4.3,GRP,961,Denmark,907500.0000000001
Sport Boat,Rohn power boats,"new boat from stock,Unleaded",2018,6.2,2.03,Wood,146,Switzerland,17909.7
Sport Boat,Crownline power boats,"new boat from stock,Unleaded",2019,8.0,2.59,GRP,145,Germany,121220.00000000001
"Classic,Runabout",Boesch power boats,"Used boat,Unleaded",1996,6.65,2.2,Wood,573,Switzerland,17850.0
Cabin Boat,Stama power boats,"Used boat,Diesel",2009,12.0,3.6,Plastic,1414,Switzerland,17850.0
Flybridge,Altair power boats,Used boat,2010,11.66,3.85,GRP,146,Italy,121000.00000000001
Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2009,11.37,3.8,PVC,82,France,126500.00000000001
Motor Yacht,De Boarnstream power boats,"Used boat,Diesel",1995,10.8,3.8,Steel,127,Germany,126500.00000000001
Motor Yacht,Bavaria power boats,"Used boat,Diesel",2006,10.85,3.68,GRP,146,Croatia,126500.00000000001
Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2013,10.06,3.31,Plastic,209,Marina,126500.00000000001
Motor Yacht,Veha power boats,"Used boat,Diesel",2005,10.5,3.75,Steel,207,Germany,126500.00000000001
Hardtop,BÃ©nÃ©teau power boats,"Used boat,Diesel",2011,10.0,3.35,PVC,96,France,126500.00000000001
Flybridge,Uniesse power boats,"Used boat,Diesel",1993,15.0,4.5,GRP,60,Italy,126500.00000000001
Cabin Boat,Gobbi power boats,"Used boat,Diesel",2001,11.7,3.86,GRP,478,Germany,126500.00000000001
Sport Boat,Regal power boats,"new boat on order,Unleaded",2020,7.9,2.5,GRP,122,Germany,126489.00000000001
Motor Yacht,Scandinavia power boats,"new boat from stock,Diesel",2019,9.5,3.0,GRP,123,Poland,126465.90000000001
Motor Yacht,Princess power boats,"Used boat,Diesel",2000,13.0,3.0,GRP,421,Croatia,126390.00000000001
Deck Boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,8.6,2.98,PVC,40,Spain,128190.70000000001
Hardtop,Jeanneau power boats,"Used boat,Diesel",2012,9.43,3.3,GRP,94,Croatia,127600.00000000001
Motor Yacht,Sealine power boats,"Used boat,Diesel",1996,13.4,4.16,GRP,142,Germany,127600.00000000001
Flybridge,Sealine power boats,"Used boat,Diesel",1996,13.5,4.26,GRP,80,Germany,127600.00000000001
Motor Yacht,Bavaria power boats,"Used boat,Diesel",2007,11.0,3.0,GRP,94,Croatia,127490.00000000001
Bowrider,Sea Ray power boats,"Display Model,Unleaded",2020,7.89,2.59,GRP,176,Germany,127490.00000000001
Sport Boat,Four Winns power boats,"new boat from stock,Unleaded",2020,6.73,2.57,GRP,198,Switzerland,18763.95
Sport Boat,Anytec Boats power boats,"Display Model,Unleaded",2019,8.4,2.55,Aluminium,200,Switzerland,18750.0
Pilothouse,SAS-Vektor power boats,"Used boat,Diesel",2000,9.14,0.9943365695792881,GRP,77,Croatia,127050.00000000001
Flybridge,Symbol Yachts power boats,"Used boat,Diesel",1992,15.36,4.78,PVC,106,Spain,130900.00000000001
