Boat_Type,Manufacturer,Type,Year_Built,Length,Width,Material,Views_7_days,Country,Amount_US
Motor Yacht,Moonday power boats,new boat from stock,2019,4.8,2.0,GRP,91,Netherlands,10508.300000000001
Cabin Boat,Gouwerok power boats,Used boat,1964,8.4,2.85,Steel,138,Netherlands,10450.0
Sport Boat,Trimarchi  power boats,"new boat from stock,Gas",2019,5.7,2.1,GRP,184,Italy,10450.0
Motor Yacht,Cox Marine power boats,"Used boat,Diesel",1985,6.8,2.5,GRP,162,Germany,10450.0
Sport Boat,Supra power boats,"Used boat,Unleaded",1991,6.18,2.42,GRP,256,Switzerland,1650.0
Pontoon Boat,MÃ¤ndli power boats,Used boat,2006,7.0,1.9,Wood,230,Switzerland,1650.0
Fishing Boat,MÃ¤ndli power boats,"Used boat,Unleaded",2006,6.0,1.6,GRP,182,Switzerland,1650.0
Sport Boat,Italmar power boats,new boat from stock,2020,4.99,2.1,GRP,115,Germany,11126.5
Runabout,Safter Marine power boats,new boat on order,2020,4.5,1.65,GRP,159,Switzerland,1635.0
Sport Boat,Bayliner power boats,"Used boat,Unleaded",1993,8.5,2.6,GRP,585,Italy,11000.0
Sport Boat,Cigala & Bertinetti power boats,"Used boat,Unleaded",1979,7.25,2.37,GRP,185,Italy,11000.0
Working Boat,Costruzioni Navali Srl power boats,"Used boat,Diesel",1975,12.0,3.0,Steel,182,Italy,11000.0
"Cabin Boat,Trawler",Werner  power boats,"Used boat,Diesel",1940,12.5,2.5,Steel,900,Germany,11000.0
Sport Boat,A. Mostes power boats,"Used boat,Unleaded",1991,7.15,2.36,GRP,783,Italy,11000.0
Sport Boat,Bayliner power boats,Used boat,1995,7.02,2.52,PVC,175,France,11000.0
Cabin Boat,Bayliner power boats,"Used boat,Unleaded",1995,7.02,2.52,PVC,207,France,11000.0
Sport Boat,Bayliner power boats,Used boat,1988,6.3,2.34,GRP,284,Italy,12100.000000000002
Motor Yacht,Chrysler power boats,"Used boat,Unleaded",1974,4.9,2.1,GRP,125,Germany,12100.000000000002
Cabin Boat,Stingray power boats,Used boat,1997,6.5,2.4,GRP,229,Italy,12100.000000000002
Sport Boat,Bayliner power boats,"Used boat,Unleaded",1996,7.03,2.54,PVC,226,France,12100.000000000002
"Bowrider,Classic",Sunbird power boats,"Used boat,Unleaded",1971,5.79,2.2,Wood,87,France,12100.000000000002
Cabin Boat,Glastron power boats,"Used boat,Unleaded",1998,6.13,2.39,GRP,175,Italy,12100.000000000002
Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1992,7.8,2.59,GRP,173,Italy,12100.000000000002
"Motor Yacht,Sport Boat",Rio power boats,"Used boat,Unleaded",2000,6.0,2.4,GRP,422,Spain,12100.000000000002
Cabin Boat,Birchwood power boats,"Used boat,Unleaded",1986,7.4,2.5,GRP,243,Germany,12100.000000000002
Sport Boat,Bayliner power boats,Used boat,1987,7.62,2.97,GRP,254,Netherlands,12100.000000000002
Deck Boat,Quicksilver (Brunswick Marine) power boats,new boat from stock,2020,5.07,2.12,GRP,150,Germany,12098.900000000001
Sport Boat,BlueCraft power boats,"new boat from stock,Unleaded",2020,5.1,2.1,GRP,255,Germany,12098.900000000001
Sport Boat,Remus power boats,new boat from stock,2020,5.2,2.22,GRP,179,Germany,12098.900000000001
Cabin Boat,Quicksilver power boats,"Used boat,Unleaded",2003,4.7,2.3,GRP,169,Germany,12089.000000000002
